id_planta,comprimento_sepala,largura_sepala,comprimento_petala,largura_petala,cidade_origem,classe
45,19.3,21.8,6.2,0.5,Sorocaba,Iris-setosa
46,14.2,2.3,3.1,1.7,Sorocaba,Iris-setosa
47,8.6,11.1,8.5,0.1,São Paulo,Iris-setosa
48,10.6,6.1,8.0,1.8,Sorocaba,Iris-setosa
49,17.5,19.2,7.6,0.3,Campinas,Iris-setosa
50,13.3,2.1,3.6,0.4,São Paulo,Iris-setosa
51,16.2,10.5,8.5,0.7,Sorocaba,Iris-setosa
52,17.2,5.5,6.1,0.9,São Paulo,Iris-setosa
53,11.4,2.9,5.8,1.8,Campinas,Iris-setosa
54,4.9,24.2,3.4,1.8,São Paulo,Iris-setosa
55,10.0,3.9,8.2,2.5,São Paulo,Iris-setosa
56,13.4,6.0,8.0,1.3,Sorocaba,Iris-setosa
57,13.6,11.2,8.1,1.2,Sorocaba,Iris-setosa
58,5.5,23.1,2.3,2.1,Campinas,Iris-setosa
59,5.9,6.9,5.3,1.8,São Paulo,Iris-setosa
60,19.9,11.1,5.8,0.8,Sorocaba,Iris-setosa
61,12.2,,4.4,2.0,São Paulo,Iris-setosa
62,15.3,10.0,1.3,0.6,São Paulo,Iris-setosa
63,9.6,13.3,1.4,2.6,São Paulo,Iris-setosa
64,6.0,7.2,6.3,2.6,Campinas,Iris-setosa
65,8.5,5.9,3.3,1.7,São Paulo,Iris-setosa
66,14.1,,,0.2,São Paulo,Iris-setosa
67,19.6,10.7,7.4,1.8,Campinas,Iris-setosa
68,12.8,17.1,3.6,1.6,Campinas,Iris-setosa
69,9.0,14.8,1.8,0.9,São Paulo,Iris-setosa
70,13.8,18.3,6.2,1.9,São Paulo,Iris-setosa
71,6.9,16.8,6.1,0.3,Sorocaba,Iris-setosa
72,13.6,,1.4,1.5,Campinas,Iris-setosa
73,14.6,15.7,4.5,0.0,Sorocaba,Iris-setosa
74,15.9,14.5,1.2,0.3,São Paulo,Iris-setosa
75,16.1,15.9,5.3,0.2,São Paulo,Iris-setosa
76,17.2,12.3,,2.4,Sorocaba,Iris-setosa
77,8.4,7.1,9.9,0.5,Sorocaba,Iris-setosa
78,5.6,6.7,7.9,0.2,Campinas,Iris-setosa
79,14.5,16.8,,1.0,São Paulo,Iris-setosa
80,14.0,3.4,2.2,2.4,Sorocaba,Iris-setosa
81,3.6,11.7,,1.6,São Paulo,Iris-setosa
82,17.4,16.0,8.4,2.3,Campinas,Iris-setosa
83,15.0,6.3,,0.6,Campinas,Iris-setosa
84,8.8,19.0,1.2,0.2,Campinas,Iris-setosa
85,3.7,18.3,8.8,0.0,Campinas,Iris-setosa
86,15.5,4.1,2.9,0.7,São Paulo,Iris-setosa
87,17.1,19.6,8.2,1.9,São Paulo,Iris-setosa
88,15.6,12.7,6.0,1.9,Campinas,Iris-setosa
89,3.0,12.0,6.6,1.6,Campinas,Iris-setosa
90,10.8,19.6,9.1,2.1,Campinas,Iris-setosa
91,12.8,4.0,3.1,2.1,Campinas,Iris-setosa
92,14.7,4.6,2.4,0.2,São Paulo,Iris-setosa
93,3.0,19.4,3.0,1.2,Campinas,Iris-setosa
94,18.3,21.3,4.1,0.5,São Paulo,Iris-setosa
95,14.9,5.8,8.9,0.1,Sorocaba,Iris-setosa
96,17.1,14.6,7.3,1.2,Campinas,Iris-setosa
97,9.7,22.6,4.1,2.5,Sorocaba,Iris-setosa
98,8.4,12.9,6.9,2.6,Sorocaba,Iris-setosa
99,6.4,2.2,6.6,1.8,Sorocaba,Iris-setosa
100,6.0,7.8,6.7,1.9,Sorocaba,Iris-setosa
101,8.9,16.8,1.6,0.6,Sorocaba,Iris-setosa
102,3.4,13.0,6.3,0.6,Campinas,Iris-setosa
103,6.7,5.2,9.8,2.9,São Paulo,Iris-setosa
104,11.0,16.4,3.6,0.3,São Paulo,Iris-setosa
105,8.9,5.7,2.0,0.6,São Paulo,Iris-setosa
106,9.8,10.1,,1.2,Campinas,Iris-setosa
107,16.4,24.4,9.8,0.1,Campinas,Iris-setosa
108,18.7,10.4,2.0,1.1,Campinas,Iris-setosa
109,12.4,19.6,7.6,0.7,São Paulo,Iris-setosa
110,12.1,3.1,9.0,2.3,Campinas,Iris-setosa
111,6.1,20.9,2.8,0.8,São Paulo,Iris-setosa
112,5.2,10.7,2.8,1.6,Sorocaba,Iris-setosa
113,4.3,12.0,6.4,1.8,Sorocaba,Iris-setosa
114,15.2,24.5,,0.3,Sorocaba,Iris-setosa
115,3.6,24.6,7.7,0.4,São Paulo,Iris-setosa
116,13.2,3.8,,1.1,Campinas,Iris-setosa
117,4.0,8.8,9.7,2.6,Sorocaba,Iris-setosa
118,8.7,5.0,1.7,0.7,Campinas,Iris-setosa
119,4.3,11.6,5.8,0.1,Campinas,Iris-setosa
120,7.9,21.3,5.9,0.1,Sorocaba,Iris-setosa
121,5.9,,7.5,0.4,Sorocaba,Iris-setosa
122,13.6,16.4,3.9,1.4,Sorocaba,Iris-setosa
123,7.6,8.1,3.3,2.9,São Paulo,Iris-setosa
124,14.4,3.0,9.8,1.1,Sorocaba,Iris-setosa
125,15.0,9.3,2.0,2.7,São Paulo,Iris-setosa
126,13.0,5.5,4.6,0.2,Sorocaba,Iris-setosa
127,15.3,18.1,1.2,4.8,Campinas,Iris-setosa
128,17.4,22.7,6.9,2.8,Campinas,Iris-setosa
129,6.8,7.8,2.5,0.7,Sorocaba,Iris-setosa
130,9.1,3.6,8.9,1.1,Sorocaba,Iris-setosa
131,16.4,19.9,8.2,1.4,Campinas,Iris-setosa
132,18.0,,1.9,0.9,Campinas,Iris-setosa
133,19.9,9.9,7.6,0.1,São Paulo,Iris-setosa
134,10.6,4.4,6.4,0.6,São Paulo,Iris-setosa
135,5.6,11.9,8.8,1.4,Campinas,Iris-setosa
136,19.5,17.3,6.7,2.7,Campinas,Iris-setosa
137,4.1,5.1,,2.6,Campinas,Iris-setosa
138,18.0,8.8,8.8,0.1,Campinas,Iris-setosa
139,15.8,,2.5,2.7,Campinas,Iris-setosa
140,10.6,16.8,7.2,2.7,Campinas,Iris-setosa
141,10.1,3.9,9.5,2.3,Sorocaba,Iris-setosa
142,4.7,4.0,3.9,1.8,Sorocaba,Iris-setosa
143,11.2,4.8,,0.0,São Paulo,Iris-setosa
144,11.5,21.2,4.4,0.0,Campinas,Iris-setosa
145,13.6,8.9,3.2,0.4,São Paulo,Iris-setosa
146,16.8,3.3,3.7,1.5,São Paulo,Iris-setosa
147,6.7,3.1,2.6,0.6,São Paulo,Iris-setosa
148,17.9,5.1,1.5,0.1,Sorocaba,Iris-setosa
149,5.1,4.8,2.9,1.6,Sorocaba,Iris-setosa
150,16.3,5.3,9.0,1.0,Campinas,Iris-setosa
151,17.9,10.4,8.4,2.6,Campinas,Iris-setosa
152,7.9,15.2,8.1,2.0,Campinas,Iris-setosa
153,15.6,6.6,2.2,0.7,Sorocaba,Iris-setosa
154,5.4,18.5,3.8,0.3,Sorocaba,Iris-setosa
155,3.0,9.0,9.6,0.3,Sorocaba,Iris-setosa
156,3.4,16.2,6.9,0.6,Sorocaba,Iris-setosa
157,16.3,5.4,,1.8,São Paulo,Iris-setosa
158,6.0,20.2,4.6,0.9,Sorocaba,Iris-setosa
159,6.3,6.1,1.2,0.3,Sorocaba,Iris-setosa
160,9.0,12.7,2.9,0.5,São Paulo,Iris-setosa
161,12.8,4.9,8.1,0.6,São Paulo,Iris-setosa
162,12.1,15.9,1.6,1.6,Sorocaba,Iris-setosa
163,14.3,5.0,3.2,0.2,São Paulo,Iris-setosa
164,3.4,19.2,8.3,0.0,Sorocaba,Iris-setosa
165,15.3,11.7,3.1,2.8,Campinas,Iris-setosa
166,11.5,14.8,4.8,1.0,São Paulo,Iris-setosa
167,17.2,16.3,2.3,2.5,São Paulo,Iris-setosa
168,5.5,16.3,3.0,0.8,Campinas,Iris-setosa
169,4.7,23.0,8.1,2.0,Sorocaba,Iris-setosa
170,19.0,,,0.2,Sorocaba,Iris-setosa
171,18.9,15.1,2.3,0.8,São Paulo,Iris-setosa
172,12.1,20.8,5.2,1.3,Sorocaba,Iris-setosa
173,4.9,22.7,3.8,0.3,Campinas,Iris-setosa
174,10.5,13.4,7.4,1.3,Sorocaba,Iris-setosa
175,16.1,4.5,4.6,1.0,Sorocaba,Iris-setosa
176,11.0,5.8,8.5,2.9,Sorocaba,Iris-setosa
177,12.9,15.7,4.4,1.8,Sorocaba,Iris-setosa
178,13.0,24.4,3.6,0.0,Sorocaba,Iris-setosa
179,8.9,12.6,7.4,0.4,Sorocaba,Iris-setosa
180,17.2,10.3,2.7,0.0,São Paulo,Iris-setosa
181,11.8,11.0,1.6,0.5,Campinas,Iris-setosa
182,18.0,,6.6,1.2,São Paulo,Iris-setosa
183,11.3,17.6,9.7,2.4,Campinas,Iris-setosa
184,10.2,21.3,9.3,2.9,São Paulo,Iris-setosa
185,5.7,20.2,,0.3,Campinas,Iris-setosa
186,7.3,19.6,2.6,2.0,Sorocaba,Iris-setosa
187,15.7,16.7,5.1,0.2,São Paulo,Iris-setosa
188,10.2,,7.4,0.5,Sorocaba,Iris-setosa
189,16.6,14.2,6.2,0.2,Campinas,Iris-setosa
190,8.9,21.3,5.7,0.0,Sorocaba,Iris-setosa
191,13.4,15.7,3.3,2.6,São Paulo,Iris-setosa
192,6.3,7.1,8.6,2.9,Sorocaba,Iris-setosa
193,14.0,20.7,2.4,1.1,Campinas,Iris-setosa
194,14.7,23.1,4.4,2.7,São Paulo,Iris-setosa
195,17.3,11.2,2.4,1.8,Campinas,Iris-setosa
196,17.7,10.7,7.3,2.8,São Paulo,Iris-setosa
197,10.2,11.1,8.1,0.4,Sorocaba,Iris-setosa
198,5.9,8.6,1.6,1.6,São Paulo,Iris-setosa
199,17.8,17.1,2.2,2.1,Campinas,Iris-setosa
200,19.9,21.3,1.6,2.3,Sorocaba,Iris-setosa
201,12.4,14.7,1.9,1.1,São Paulo,Iris-setosa
202,9.3,13.0,6.0,1.8,Sorocaba,Iris-setosa
203,16.7,23.1,2.5,1.0,Campinas,Iris-setosa
204,4.8,23.6,2.9,2.9,São Paulo,Iris-setosa
205,8.0,16.8,2.9,0.2,Campinas,Iris-setosa
206,10.3,19.4,9.9,2.1,Sorocaba,Iris-setosa
207,9.0,7.6,2.0,1.1,São Paulo,Iris-setosa
208,15.5,9.4,,0.6,Campinas,Iris-setosa
209,19.1,19.8,1.1,2.6,Campinas,Iris-setosa
210,13.0,4.0,9.5,0.7,Sorocaba,Iris-setosa
211,17.3,16.1,5.1,2.7,Sorocaba,Iris-setosa
212,10.1,4.6,7.0,0.9,Campinas,Iris-setosa
213,4.2,,5.6,1.0,Sorocaba,Iris-setosa
214,5.3,8.7,9.3,1.7,Campinas,Iris-setosa
215,16.5,12.1,7.6,2.2,Sorocaba,Iris-setosa
216,19.3,21.3,3.8,1.3,São Paulo,Iris-setosa
217,5.7,17.6,8.4,1.0,Sorocaba,Iris-setosa
218,6.9,17.0,6.8,0.5,Sorocaba,Iris-setosa
219,12.9,2.5,8.0,0.6,São Paulo,Iris-setosa
220,17.0,12.7,1.1,2.5,Sorocaba,Iris-setosa
221,91.80000000000001,21.9,3.2,0.1,São Paulo,Iris-setosa
222,6.0,,7.2,2.8,Sorocaba,Iris-setosa
223,5.2,14.3,,0.6,Campinas,Iris-setosa
224,13.1,21.7,4.0,0.7,Sorocaba,Iris-setosa
225,17.0,20.7,6.3,0.4,Campinas,Iris-setosa
226,13.4,5.0,1.6,2.7,Campinas,Iris-setosa
227,14.1,22.8,9.1,2.6,Campinas,Iris-setosa
228,16.5,,1.2,0.1,Campinas,Iris-setosa
229,15.6,,3.2,0.7,Campinas,Iris-setosa
230,19.5,24.2,6.8,1.3,Sorocaba,Iris-setosa
231,15.6,7.7,9.1,1.0,Sorocaba,Iris-setosa
232,9.3,24.6,2.7,0.7,Sorocaba,Iris-setosa
233,11.2,15.4,6.1,1.4,Sorocaba,Iris-setosa
234,15.9,8.0,,1.1,Campinas,Iris-setosa
235,11.2,,5.3,2.8,Sorocaba,Iris-setosa
236,8.8,12.0,3.8,2.1,São Paulo,Iris-setosa
237,9.6,24.9,2.9,2.8,Campinas,Iris-setosa
238,8.3,2.3,7.2,1.6,São Paulo,Iris-setosa
239,16.7,4.6,,1.8,São Paulo,Iris-setosa
240,15.1,10.2,6.5,2.7,Sorocaba,Iris-setosa
241,14.7,22.4,2.9,2.9,São Paulo,Iris-setosa
242,7.9,13.8,,0.2,Campinas,Iris-setosa
243,19.8,10.7,7.8,0.6,Campinas,Iris-setosa
244,14.8,22.3,1.5,0.1,São Paulo,Iris-setosa
245,11.4,,1.2,1.7,Sorocaba,Iris-setosa
246,15.6,9.2,9.4,0.1,São Paulo,Iris-setosa
247,10.5,6.0,9.6,2.5,Campinas,Iris-setosa
248,9.8,8.5,9.6,1.2,São Paulo,Iris-setosa
249,8.5,10.7,5.6,2.7,São Paulo,Iris-setosa
250,12.7,8.2,6.6,2.2,Campinas,Iris-setosa
251,15.0,11.7,7.2,2.0,São Paulo,Iris-setosa
252,16.4,,1.1,1.1,Sorocaba,Iris-setosa
253,18.6,24.2,3.0,0.0,Sorocaba,Iris-setosa
254,13.6,4.8,1.6,1.6,Sorocaba,Iris-setosa
255,19.5,13.8,6.2,2.9,São Paulo,Iris-setosa
256,18.3,21.9,4.6,0.7,Sorocaba,Iris-setosa
257,13.2,15.8,8.9,0.3,Campinas,Iris-setosa
258,10.0,3.9,8.2,2.5,São Paulo,Iris-setosa
259,4.4,18.2,2.8,0.3,Sorocaba,Iris-setosa
260,18.0,21.4,9.4,2.7,São Paulo,Iris-setosa
261,19.1,,7.2,0.9,Sorocaba,Iris-setosa
262,17.6,4.7,6.0,0.1,São Paulo,Iris-setosa
263,19.1,,7.1,2.9,Campinas,Iris-setosa
264,12.3,14.3,3.6,1.6,Campinas,Iris-setosa
265,4.3,22.6,5.2,1.9,Campinas,Iris-setosa
266,13.3,15.8,3.4,0.2,São Paulo,Iris-setosa
267,9.3,,1.7,2.1,São Paulo,Iris-setosa
268,7.1,22.4,8.2,1.0,Sorocaba,Iris-setosa
269,3.3,4.7,8.9,2.7,Campinas,Iris-setosa
270,12.5,7.6,5.5,1.9,Sorocaba,Iris-setosa
271,18.0,15.2,7.1,0.1,São Paulo,Iris-setosa
272,13.0,,4.4,0.6,Sorocaba,Iris-setosa
273,15.4,16.0,9.9,2.4,São Paulo,Iris-setosa
274,10.2,21.5,,2.3,Sorocaba,Iris-setosa
275,19.1,20.2,8.2,0.7,São Paulo,Iris-setosa
276,9.6,7.8,,1.0,São Paulo,Iris-setosa
277,7.4,18.5,9.4,0.0,São Paulo,Iris-setosa
278,16.0,,9.7,1.1,São Paulo,Iris-setosa
279,15.4,12.0,5.8,0.2,Sorocaba,Iris-setosa
280,5.3,4.0,1.6,2.4,Sorocaba,Iris-setosa
281,15.0,24.9,1.5,1.9,Sorocaba,Iris-setosa
282,6.0,10.5,6.5,1.1,Sorocaba,Iris-setosa
283,15.4,19.5,4.6,2.3,Sorocaba,Iris-setosa
284,13.2,12.6,3.6,1.1,Campinas,Iris-setosa
285,10.0,4.8,3.1,0.0,São Paulo,Iris-setosa
286,9.4,14.3,7.9,1.1,São Paulo,Iris-setosa
287,14.9,8.3,7.2,1.7,Campinas,Iris-setosa
288,10.3,3.5,6.0,1.5,Campinas,Iris-setosa
289,12.2,,6.9,0.2,Campinas,Iris-setosa
290,16.6,5.9,2.0,2.2,Campinas,Iris-setosa
291,16.0,20.4,3.8,1.7,Sorocaba,Iris-setosa
292,10.2,21.5,4.6,2.2,Sorocaba,Iris-setosa
293,7.4,22.9,7.1,1.2,Campinas,Iris-setosa
294,9.6,8.3,6.5,1.5,São Paulo,Iris-setosa
295,6.7,12.4,9.9,0.5,São Paulo,Iris-setosa
296,16.2,,6.7,0.4,Sorocaba,Iris-setosa
297,16.8,24.7,5.4,2.5,Sorocaba,Iris-setosa
298,12.9,20.0,9.5,1.8,Campinas,Iris-setosa
299,18.5,18.2,6.9,0.6,São Paulo,Iris-setosa
300,9.6,,3.1,0.2,Campinas,Iris-setosa
301,8.9,3.3,1.6,0.0,Sorocaba,Iris-setosa
302,9.5,9.3,5.9,1.8,Campinas,Iris-setosa
303,9.0,5.9,1.4,0.5,Sorocaba,Iris-setosa
304,9.9,10.0,6.5,1.5,Campinas,Iris-setosa
305,8.3,2.3,3.8,1.5,Sorocaba,Iris-setosa
306,9.3,13.0,,0.5,São Paulo,Iris-setosa
307,17.3,,4.4,2.8,Sorocaba,Iris-setosa
308,3.1,18.3,5.6,1.3,Sorocaba,Iris-setosa
309,6.5,15.5,5.8,0.3,São Paulo,Iris-setosa
310,15.3,13.2,9.5,0.1,São Paulo,Iris-setosa
311,5.2,10.6,7.9,2.4,Sorocaba,Iris-setosa
312,11.1,11.2,3.1,0.8,Campinas,Iris-setosa
313,11.0,7.6,2.9,0.6,São Paulo,Iris-setosa
314,6.6,12.5,4.3,1.3,Campinas,Iris-setosa
315,14.2,2.1,4.1,1.2,Sorocaba,Iris-setosa
316,6.7,19.2,9.7,2.5,Campinas,Iris-setosa
317,10.2,22.9,,1.2,Sorocaba,Iris-setosa
318,17.6,8.5,8.0,2.7,Campinas,Iris-setosa
319,13.4,4.0,6.0,1.6,Campinas,Iris-setosa
320,15.3,21.1,8.1,2.5,Campinas,Iris-setosa
321,4.7,21.1,4.9,1.2,Campinas,Iris-setosa
322,5.0,,5.3,2.7,Campinas,Iris-setosa
323,8.9,3.3,1.5,1.8,São Paulo,Iris-setosa
324,9.5,21.3,8.8,2.7,Sorocaba,Iris-setosa
325,19.8,13.2,5.8,1.9,São Paulo,Iris-setosa
326,19.6,,3.5,1.0,São Paulo,Iris-setosa
327,3.1,21.7,5.7,2.3,Campinas,Iris-setosa
328,16.3,12.0,1.3,0.2,São Paulo,Iris-setosa
329,15.5,18.1,1.0,2.2,Campinas,Iris-setosa
330,12.1,16.8,2.1,0.7,Sorocaba,Iris-setosa
331,6.4,18.0,1.9,0.0,São Paulo,Iris-setosa
332,7.1,17.5,1.0,0.4,São Paulo,Iris-setosa
333,17.6,24.1,3.9,1.4,Sorocaba,Iris-setosa
334,9.7,,8.5,1.6,São Paulo,Iris-setosa
335,17.9,18.6,8.5,0.0,Campinas,Iris-setosa
336,18.8,24.1,8.4,1.1,São Paulo,Iris-setosa
337,16.4,18.7,4.0,0.3,São Paulo,Iris-setosa
338,3.2,4.7,,2.1,São Paulo,Iris-setosa
339,9.4,17.3,6.3,2.7,Sorocaba,Iris-setosa
340,5.0,11.1,3.1,0.6,Sorocaba,Iris-setosa
341,13.3,7.0,9.9,1.3,Campinas,Iris-setosa
342,15.1,14.4,1.9,1.4,São Paulo,Iris-setosa
343,13.3,6.8,1.1,2.5,Campinas,Iris-setosa
344,15.8,6.0,5.0,2.6,Campinas,Iris-setosa
345,8.7,2.8,7.7,2.6,São Paulo,Iris-setosa
346,3.4,3.4,,0.5,Campinas,Iris-setosa
347,16.2,21.2,8.4,2.1,Campinas,Iris-setosa
348,4.9,11.5,4.2,0.5,Sorocaba,Iris-setosa
349,15.2,18.2,4.3,0.6,Sorocaba,Iris-setosa
350,3.2,21.0,9.1,1.7,São Paulo,Iris-setosa
351,12.8,,3.4,0.0,São Paulo,Iris-setosa
352,8.7,16.1,7.3,0.4,Sorocaba,Iris-setosa
353,8.4,6.5,4.5,2.5,São Paulo,Iris-setosa
354,18.5,5.5,1.5,2.5,Campinas,Iris-setosa
355,15.9,17.2,1.4,1.3,São Paulo,Iris-setosa
356,4.0,24.9,2.2,0.1,Sorocaba,Iris-setosa
357,9.2,17.6,8.4,2.2,São Paulo,Iris-setosa
358,13.1,10.2,7.0,2.0,Campinas,Iris-setosa
359,14.6,22.4,2.0,2.6,Campinas,Iris-setosa
360,17.2,23.4,5.0,2.8,São Paulo,Iris-setosa
361,8.4,17.1,2.4,1.4,Campinas,Iris-setosa
362,5.8,16.9,5.7,0.6,São Paulo,Iris-setosa
363,8.8,13.4,6.1,2.1,São Paulo,Iris-setosa
364,7.8,21.1,5.2,2.1,Sorocaba,Iris-setosa
365,5.8,7.6,4.6,1.5,Campinas,Iris-setosa
366,6.9,12.1,2.8,1.6,São Paulo,Iris-setosa
367,18.0,,4.3,1.8,São Paulo,Iris-setosa
368,10.3,16.5,2.2,0.8,Campinas,Iris-setosa
369,10.0,12.3,,2.3,São Paulo,Iris-setosa
370,10.0,6.4,1.5,0.4,Sorocaba,Iris-setosa
371,17.8,19.1,7.5,0.6,Sorocaba,Iris-setosa
372,15.7,3.3,8.0,0.1,São Paulo,Iris-setosa
373,19.9,22.5,5.5,2.1,São Paulo,Iris-setosa
374,7.8,3.5,1.1,0.2,São Paulo,Iris-setosa
375,9.0,6.6,5.9,1.7,São Paulo,Iris-setosa
376,15.2,2.3,8.0,2.4,Campinas,Iris-setosa
377,6.2,,2.0,2.6,Campinas,Iris-setosa
378,3.2,10.9,9.6,2.9,Sorocaba,Iris-setosa
379,18.8,23.1,1.1,1.7,Sorocaba,Iris-setosa
380,19.4,4.4,7.7,2.0,Sorocaba,Iris-setosa
381,14.1,21.1,7.8,0.0,São Paulo,Iris-setosa
382,10.9,117.60000000000001,3.7,0.1,São Paulo,Iris-setosa
383,7.3,,7.5,1.3,São Paulo,Iris-setosa
384,9.4,4.3,1.9,0.0,São Paulo,Iris-setosa
385,7.8,24.3,4.0,2.1,Sorocaba,Iris-setosa
386,15.8,6.4,2.4,2.7,São Paulo,Iris-setosa
387,14.6,12.2,,2.5,Sorocaba,Iris-setosa
388,17.1,18.9,6.8,1.7,Sorocaba,Iris-setosa
389,17.2,17.5,1.0,2.9,Campinas,Iris-setosa
390,14.0,9.2,6.2,0.2,Campinas,Iris-setosa
391,17.8,15.4,2.8,0.2,São Paulo,Iris-setosa
392,13.9,18.1,4.7,1.5,Campinas,Iris-setosa
393,3.4,21.9,4.9,1.5,Campinas,Iris-setosa
394,9.7,13.9,2.6,2.9,Sorocaba,Iris-setosa
395,19.2,7.2,7.8,1.3,Sorocaba,Iris-setosa
396,16.9,22.9,3.1,0.2,Campinas,Iris-setosa
397,12.0,14.1,,2.1,São Paulo,Iris-setosa
398,3.8,17.4,3.1,2.1,Campinas,Iris-setosa
399,17.3,3.6,9.4,1.0,Campinas,Iris-setosa
400,15.1,7.9,7.1,1.3,São Paulo,Iris-setosa
401,13.5,24.9,7.0,1.2,São Paulo,Iris-setosa
402,11.3,7.8,5.6,2.7,São Paulo,Iris-setosa
403,6.4,6.1,8.9,1.0,Sorocaba,Iris-setosa
404,5.6,24.9,1.0,1.6,Campinas,Iris-setosa
405,19.9,10.0,9.8,2.0,São Paulo,Iris-setosa
406,16.9,22.2,2.9,2.6,Campinas,Iris-setosa
407,14.4,20.8,6.7,2.1,Campinas,Iris-setosa
408,18.9,19.2,,0.3,Campinas,Iris-setosa
409,16.2,5.5,7.1,1.8,Campinas,Iris-setosa
410,16.1,14.3,3.7,2.3,Campinas,Iris-setosa
411,10.3,4.1,4.9,2.4,São Paulo,Iris-setosa
412,18.2,5.3,2.2,0.9,Sorocaba,Iris-setosa
413,9.3,5.3,4.4,2.6,Sorocaba,Iris-setosa
414,19.9,16.3,6.4,1.2,Campinas,Iris-setosa
415,13.7,6.9,6.5,2.6,Campinas,Iris-setosa
416,4.5,4.6,6.6,1.7,São Paulo,Iris-setosa
417,5.9,12.6,3.6,2.0,Campinas,Iris-setosa
418,15.2,23.7,1.7,0.5,Campinas,Iris-setosa
419,9.3,12.0,,1.5,Campinas,Iris-setosa
420,14.4,7.9,9.5,2.5,São Paulo,Iris-setosa
421,17.1,,9.2,1.4,Campinas,Iris-setosa
422,4.9,16.9,2.4,2.1,São Paulo,Iris-setosa
423,9.6,21.5,7.4,1.6,São Paulo,Iris-setosa
424,4.7,17.6,2.4,0.1,São Paulo,Iris-setosa
425,6.4,20.7,,0.4,São Paulo,Iris-setosa
426,8.6,23.4,6.8,2.7,Sorocaba,Iris-setosa
427,15.9,16.4,2.8,1.5,Sorocaba,Iris-setosa
428,5.3,8.1,3.0,2.7,Sorocaba,Iris-setosa
429,6.1,19.2,3.8,0.6,Campinas,Iris-setosa
430,12.0,21.7,4.6,0.2,Sorocaba,Iris-setosa
431,6.3,24.3,8.5,0.5,Campinas,Iris-setosa
432,5.7,24.8,9.8,0.7,Sorocaba,Iris-setosa
433,17.3,4.7,9.1,1.1,São Paulo,Iris-setosa
434,12.2,13.3,2.8,2.5,Sorocaba,Iris-setosa
435,13.7,16.5,9.4,1.5,São Paulo,Iris-setosa
436,17.2,23.5,4.5,2.1,Sorocaba,Iris-setosa
437,18.8,15.3,1.8,1.1,Sorocaba,Iris-setosa
438,14.7,23.5,2.5,1.4,São Paulo,Iris-setosa
439,10.4,14.2,6.1,0.0,Campinas,Iris-setosa
440,9.7,18.4,8.5,2.2,Sorocaba,Iris-setosa
